iter	Passed	Remaining
0	0	81
1	1	77
2	3	97
3	3	93
4	4	91
5	6	94
6	7	99
7	9	104
8	10	104
9	11	106
10	13	105
11	14	102
12	15	102
13	16	100
14	17	101
15	19	102
16	21	103
17	22	100
18	23	99
19	24	98
20	25	97
21	26	95
22	27	92
23	28	90
24	29	88
25	30	87
26	31	85
27	32	83
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	42	67
39	43	65
40	44	64
41	44	62
42	46	61
43	46	59
44	47	58
45	48	56
46	49	55
47	49	54
48	50	52
49	51	51
50	52	50
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	55	42
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	32
65	61	31
66	62	30
67	63	29
68	63	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	16
81	72	15
82	73	15
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
